SECTION_,PATROL,ROUTE,ROAD_TYPE,REF_PT,latitude,longitude,mile_marker
2,5,070A,Main_Hwy,0.0,-109.05097470771315,39.19420496257155,0.0
2,5,070A,Main_Hwy,1.0,-109.03420916288296,39.18835803605473,1.0
2,5,070A,Main_Hwy,2.0,-109.01599429210067,39.19163635703631,2.0
2,1,070A,Main_Hwy,19.54000092,-108.73711956948053,39.15517374183859,19.5
2,1,070A,Main_Hwy,45.47999954,-108.31529037963442,39.143280054583016,45.5
2,8,070A,Main_Hwy,67.15000153,-108.14896594810679,39.38436194539413,67.2
2,10,070A,Main_Hwy,89.62999725,-107.79328169554051,39.52036175075908,89.6
2,10,070A,Main_Hwy,108.72000122,-107.45606973202564,39.57141949176467,108.7
2,42,070A,Main_Hwy,116.30000305,-107.32814650997624,39.5494404125151,116.3
2,42,070A,Main_Hwy,117.80000305,-107.30942214980418,39.560909950313714,117.8
2,42,070A,Main_Hwy,125.84999847,-107.18150422612884,39.59087743901387,125.8
2,42,070A,Main_Hwy,125.94999695,-107.1812063120686,39.59068727199683,125.9
2,14,070A,Main_Hwy,162.77999878,-106.58757537233431,39.64926560620912,162.8
2,19,070A,Main_Hwy,176.0,-106.37882070823633,39.64428690947273,176.0
2,19,070A,Main_Hwy,177.0,-106.35942535958945,39.64126204396553,177.0
2,19,070A,Main_Hwy,179.91000366,-106.30782426849582,39.64436766417011,179.9
5,43,070A,Main_Hwy,216.3999939,-105.88497033836406,39.68575255349732,216.4
5,41,070A,Main_Hwy,231.88999939,-105.65550137050806,39.75849402057603,231.9
5,35,070A,Main_Hwy,250.30000305,-105.34519959070535,39.7063236730266,250.3
5,35,070A,Main_Hwy,258.72000122,-105.20347629634632,39.70076966492398,258.7
8,4,070A,Main_Hwy,276.57000732,-104.94094402511968,39.78017260146634,276.6
5,21,070A,Main_Hwy,285.70001221,-104.7725439916953,39.7596063056948,285.7
5,20,070A,Main_Hwy,304.3999939,-104.43323088980694,39.73840740078446,304.4
5,16,070A,Main_Hwy,322.1000061,-104.11544789282769,39.68216543582428,322.1
5,16,070A,Main_Hwy,340.29998779,-103.9376146114881,39.46236648526004,340.3
5,14,070A,Main_Hwy,340.3999939,-103.93716568428349,39.46240503089193,340.4
5,4,070A,Main_Hwy,394.3999939,-103.06221104784481,39.28613279057998,394.4
5,2,070A,Main_Hwy,419.3999939,-102.60225828195505,39.29425918465027,419.4
5,2,070A,Main_Hwy,449.58999634,-102.04888280002801,39.32950683360229,449.6
